original_index,unit1_rgb,original_unit1_pwr_best-beam,original_unit1_pwr
173,../scenario31/unit1/camera_data/image_173.jpg,3,./unit1/mmWave_data/mmWave_power_173.txt
174,../scenario31/unit1/camera_data/image_174.jpg,2,./unit1/mmWave_data/mmWave_power_174.txt
175,../scenario31/unit1/camera_data/image_175.jpg,4,./unit1/mmWave_data/mmWave_power_175.txt
176,../scenario31/unit1/camera_data/image_176.jpg,6,./unit1/mmWave_data/mmWave_power_176.txt
177,../scenario31/unit1/camera_data/image_177.jpg,6,./unit1/mmWave_data/mmWave_power_177.txt
178,../scenario31/unit1/camera_data/image_178.jpg,5,./unit1/mmWave_data/mmWave_power_178.txt
179,../scenario31/unit1/camera_data/image_179.jpg,10,./unit1/mmWave_data/mmWave_power_179.txt
180,../scenario31/unit1/camera_data/image_180.jpg,13,./unit1/mmWave_data/mmWave_power_180.txt
181,../scenario31/unit1/camera_data/image_181.jpg,10,./unit1/mmWave_data/mmWave_power_181.txt
182,../scenario31/unit1/camera_data/image_182.jpg,13,./unit1/mmWave_data/mmWave_power_182.txt
183,../scenario31/unit1/camera_data/image_183.jpg,13,./unit1/mmWave_data/mmWave_power_183.txt
184,../scenario31/unit1/camera_data/image_184.jpg,16,./unit1/mmWave_data/mmWave_power_184.txt
185,../scenario31/unit1/camera_data/image_185.jpg,16,./unit1/mmWave_data/mmWave_power_185.txt
186,../scenario31/unit1/camera_data/image_186.jpg,23,./unit1/mmWave_data/mmWave_power_186.txt
187,../scenario31/unit1/camera_data/image_187.jpg,16,./unit1/mmWave_data/mmWave_power_187.txt
188,../scenario31/unit1/camera_data/image_188.jpg,31,./unit1/mmWave_data/mmWave_power_188.txt
189,../scenario31/unit1/camera_data/image_189.jpg,20,./unit1/mmWave_data/mmWave_power_189.txt
190,../scenario31/unit1/camera_data/image_190.jpg,21,./unit1/mmWave_data/mmWave_power_190.txt
191,../scenario31/unit1/camera_data/image_191.jpg,23,./unit1/mmWave_data/mmWave_power_191.txt
192,../scenario31/unit1/camera_data/image_192.jpg,21,./unit1/mmWave_data/mmWave_power_192.txt
193,../scenario31/unit1/camera_data/image_193.jpg,25,./unit1/mmWave_data/mmWave_power_193.txt
194,../scenario31/unit1/camera_data/image_194.jpg,25,./unit1/mmWave_data/mmWave_power_194.txt
195,../scenario31/unit1/camera_data/image_195.jpg,25,./unit1/mmWave_data/mmWave_power_195.txt
196,../scenario31/unit1/camera_data/image_196.jpg,38,./unit1/mmWave_data/mmWave_power_196.txt
197,../scenario31/unit1/camera_data/image_197.jpg,27,./unit1/mmWave_data/mmWave_power_197.txt
198,../scenario31/unit1/camera_data/image_198.jpg,28,./unit1/mmWave_data/mmWave_power_198.txt
199,../scenario31/unit1/camera_data/image_199.jpg,28,./unit1/mmWave_data/mmWave_power_199.txt
200,../scenario31/unit1/camera_data/image_200.jpg,29,./unit1/mmWave_data/mmWave_power_200.txt
201,../scenario31/unit1/camera_data/image_201.jpg,32,./unit1/mmWave_data/mmWave_power_201.txt
202,../scenario31/unit1/camera_data/image_202.jpg,32,./unit1/mmWave_data/mmWave_power_202.txt
203,../scenario31/unit1/camera_data/image_203.jpg,30,./unit1/mmWave_data/mmWave_power_203.txt
204,../scenario31/unit1/camera_data/image_204.jpg,32,./unit1/mmWave_data/mmWave_power_204.txt
205,../scenario31/unit1/camera_data/image_205.jpg,33,./unit1/mmWave_data/mmWave_power_205.txt
206,../scenario31/unit1/camera_data/image_206.jpg,34,./unit1/mmWave_data/mmWave_power_206.txt
207,../scenario31/unit1/camera_data/image_207.jpg,34,./unit1/mmWave_data/mmWave_power_207.txt
208,../scenario31/unit1/camera_data/image_208.jpg,36,./unit1/mmWave_data/mmWave_power_208.txt
209,../scenario31/unit1/camera_data/image_209.jpg,34,./unit1/mmWave_data/mmWave_power_209.txt
210,../scenario31/unit1/camera_data/image_210.jpg,37,./unit1/mmWave_data/mmWave_power_210.txt
211,../scenario31/unit1/camera_data/image_211.jpg,37,./unit1/mmWave_data/mmWave_power_211.txt
212,../scenario31/unit1/camera_data/image_212.jpg,37,./unit1/mmWave_data/mmWave_power_212.txt
213,../scenario31/unit1/camera_data/image_213.jpg,38,./unit1/mmWave_data/mmWave_power_213.txt
214,../scenario31/unit1/camera_data/image_214.jpg,37,./unit1/mmWave_data/mmWave_power_214.txt
215,../scenario31/unit1/camera_data/image_215.jpg,39,./unit1/mmWave_data/mmWave_power_215.txt
216,../scenario31/unit1/camera_data/image_216.jpg,38,./unit1/mmWave_data/mmWave_power_216.txt
217,../scenario31/unit1/camera_data/image_217.jpg,39,./unit1/mmWave_data/mmWave_power_217.txt
218,../scenario31/unit1/camera_data/image_218.jpg,39,./unit1/mmWave_data/mmWave_power_218.txt
219,../scenario31/unit1/camera_data/image_219.jpg,39,./unit1/mmWave_data/mmWave_power_219.txt
220,../scenario31/unit1/camera_data/image_220.jpg,39,./unit1/mmWave_data/mmWave_power_220.txt
221,../scenario31/unit1/camera_data/image_221.jpg,39,./unit1/mmWave_data/mmWave_power_221.txt
222,../scenario31/unit1/camera_data/image_222.jpg,40,./unit1/mmWave_data/mmWave_power_222.txt
223,../scenario31/unit1/camera_data/image_223.jpg,39,./unit1/mmWave_data/mmWave_power_223.txt
224,../scenario31/unit1/camera_data/image_224.jpg,42,./unit1/mmWave_data/mmWave_power_224.txt
225,../scenario31/unit1/camera_data/image_225.jpg,40,./unit1/mmWave_data/mmWave_power_225.txt
226,../scenario31/unit1/camera_data/image_226.jpg,42,./unit1/mmWave_data/mmWave_power_226.txt
227,../scenario31/unit1/camera_data/image_227.jpg,38,./unit1/mmWave_data/mmWave_power_227.txt
228,../scenario31/unit1/camera_data/image_228.jpg,43,./unit1/mmWave_data/mmWave_power_228.txt
229,../scenario31/unit1/camera_data/image_229.jpg,42,./unit1/mmWave_data/mmWave_power_229.txt
230,../scenario31/unit1/camera_data/image_230.jpg,43,./unit1/mmWave_data/mmWave_power_230.txt
231,../scenario31/unit1/camera_data/image_231.jpg,43,./unit1/mmWave_data/mmWave_power_231.txt
232,../scenario31/unit1/camera_data/image_232.jpg,8,./unit1/mmWave_data/mmWave_power_232.txt
233,../scenario31/unit1/camera_data/image_233.jpg,43,./unit1/mmWave_data/mmWave_power_233.txt
234,../scenario31/unit1/camera_data/image_234.jpg,43,./unit1/mmWave_data/mmWave_power_234.txt
235,../scenario31/unit1/camera_data/image_235.jpg,43,./unit1/mmWave_data/mmWave_power_235.txt
236,../scenario31/unit1/camera_data/image_236.jpg,44,./unit1/mmWave_data/mmWave_power_236.txt
237,../scenario31/unit1/camera_data/image_237.jpg,43,./unit1/mmWave_data/mmWave_power_237.txt
238,../scenario31/unit1/camera_data/image_238.jpg,45,./unit1/mmWave_data/mmWave_power_238.txt
239,../scenario31/unit1/camera_data/image_239.jpg,44,./unit1/mmWave_data/mmWave_power_239.txt
240,../scenario31/unit1/camera_data/image_240.jpg,44,./unit1/mmWave_data/mmWave_power_240.txt
241,../scenario31/unit1/camera_data/image_241.jpg,46,./unit1/mmWave_data/mmWave_power_241.txt
242,../scenario31/unit1/camera_data/image_242.jpg,44,./unit1/mmWave_data/mmWave_power_242.txt
243,../scenario31/unit1/camera_data/image_243.jpg,44,./unit1/mmWave_data/mmWave_power_243.txt
244,../scenario31/unit1/camera_data/image_244.jpg,45,./unit1/mmWave_data/mmWave_power_244.txt
245,../scenario31/unit1/camera_data/image_245.jpg,45,./unit1/mmWave_data/mmWave_power_245.txt
246,../scenario31/unit1/camera_data/image_246.jpg,44,./unit1/mmWave_data/mmWave_power_246.txt
247,../scenario31/unit1/camera_data/image_247.jpg,48,./unit1/mmWave_data/mmWave_power_247.txt
248,../scenario31/unit1/camera_data/image_248.jpg,43,./unit1/mmWave_data/mmWave_power_248.txt
249,../scenario31/unit1/camera_data/image_249.jpg,32,./unit1/mmWave_data/mmWave_power_249.txt
250,../scenario31/unit1/camera_data/image_250.jpg,46,./unit1/mmWave_data/mmWave_power_250.txt
251,../scenario31/unit1/camera_data/image_251.jpg,46,./unit1/mmWave_data/mmWave_power_251.txt
252,../scenario31/unit1/camera_data/image_252.jpg,47,./unit1/mmWave_data/mmWave_power_252.txt
253,../scenario31/unit1/camera_data/image_253.jpg,46,./unit1/mmWave_data/mmWave_power_253.txt
254,../scenario31/unit1/camera_data/image_254.jpg,47,./unit1/mmWave_data/mmWave_power_254.txt
255,../scenario31/unit1/camera_data/image_255.jpg,51,./unit1/mmWave_data/mmWave_power_255.txt
256,../scenario31/unit1/camera_data/image_256.jpg,47,./unit1/mmWave_data/mmWave_power_256.txt
257,../scenario31/unit1/camera_data/image_257.jpg,48,./unit1/mmWave_data/mmWave_power_257.txt
258,../scenario31/unit1/camera_data/image_258.jpg,47,./unit1/mmWave_data/mmWave_power_258.txt
259,../scenario31/unit1/camera_data/image_259.jpg,49,./unit1/mmWave_data/mmWave_power_259.txt
260,../scenario31/unit1/camera_data/image_260.jpg,47,./unit1/mmWave_data/mmWave_power_260.txt
261,../scenario31/unit1/camera_data/image_261.jpg,47,./unit1/mmWave_data/mmWave_power_261.txt
262,../scenario31/unit1/camera_data/image_262.jpg,47,./unit1/mmWave_data/mmWave_power_262.txt
263,../scenario31/unit1/camera_data/image_263.jpg,49,./unit1/mmWave_data/mmWave_power_263.txt
264,../scenario31/unit1/camera_data/image_264.jpg,46,./unit1/mmWave_data/mmWave_power_264.txt
265,../scenario31/unit1/camera_data/image_265.jpg,48,./unit1/mmWave_data/mmWave_power_265.txt
266,../scenario31/unit1/camera_data/image_266.jpg,48,./unit1/mmWave_data/mmWave_power_266.txt
267,../scenario31/unit1/camera_data/image_267.jpg,46,./unit1/mmWave_data/mmWave_power_267.txt
268,../scenario31/unit1/camera_data/image_268.jpg,48,./unit1/mmWave_data/mmWave_power_268.txt
269,../scenario31/unit1/camera_data/image_269.jpg,46,./unit1/mmWave_data/mmWave_power_269.txt
270,../scenario31/unit1/camera_data/image_270.jpg,47,./unit1/mmWave_data/mmWave_power_270.txt
271,../scenario31/unit1/camera_data/image_271.jpg,47,./unit1/mmWave_data/mmWave_power_271.txt
272,../scenario31/unit1/camera_data/image_272.jpg,47,./unit1/mmWave_data/mmWave_power_272.txt
273,../scenario31/unit1/camera_data/image_273.jpg,47,./unit1/mmWave_data/mmWave_power_273.txt
274,../scenario31/unit1/camera_data/image_274.jpg,47,./unit1/mmWave_data/mmWave_power_274.txt
275,../scenario31/unit1/camera_data/image_275.jpg,48,./unit1/mmWave_data/mmWave_power_275.txt
276,../scenario31/unit1/camera_data/image_276.jpg,47,./unit1/mmWave_data/mmWave_power_276.txt
277,../scenario31/unit1/camera_data/image_277.jpg,47,./unit1/mmWave_data/mmWave_power_277.txt
278,../scenario31/unit1/camera_data/image_278.jpg,48,./unit1/mmWave_data/mmWave_power_278.txt
279,../scenario31/unit1/camera_data/image_279.jpg,45,./unit1/mmWave_data/mmWave_power_279.txt
280,../scenario31/unit1/camera_data/image_280.jpg,17,./unit1/mmWave_data/mmWave_power_280.txt
281,../scenario31/unit1/camera_data/image_281.jpg,47,./unit1/mmWave_data/mmWave_power_281.txt
282,../scenario31/unit1/camera_data/image_282.jpg,48,./unit1/mmWave_data/mmWave_power_282.txt
283,../scenario31/unit1/camera_data/image_283.jpg,47,./unit1/mmWave_data/mmWave_power_283.txt
284,../scenario31/unit1/camera_data/image_284.jpg,48,./unit1/mmWave_data/mmWave_power_284.txt
285,../scenario31/unit1/camera_data/image_285.jpg,47,./unit1/mmWave_data/mmWave_power_285.txt
286,../scenario31/unit1/camera_data/image_286.jpg,46,./unit1/mmWave_data/mmWave_power_286.txt
287,../scenario31/unit1/camera_data/image_287.jpg,48,./unit1/mmWave_data/mmWave_power_287.txt
288,../scenario31/unit1/camera_data/image_288.jpg,47,./unit1/mmWave_data/mmWave_power_288.txt
289,../scenario31/unit1/camera_data/image_289.jpg,45,./unit1/mmWave_data/mmWave_power_289.txt
290,../scenario31/unit1/camera_data/image_290.jpg,48,./unit1/mmWave_data/mmWave_power_290.txt
291,../scenario31/unit1/camera_data/image_291.jpg,46,./unit1/mmWave_data/mmWave_power_291.txt
292,../scenario31/unit1/camera_data/image_292.jpg,48,./unit1/mmWave_data/mmWave_power_292.txt
293,../scenario31/unit1/camera_data/image_293.jpg,45,./unit1/mmWave_data/mmWave_power_293.txt
294,../scenario31/unit1/camera_data/image_294.jpg,45,./unit1/mmWave_data/mmWave_power_294.txt
295,../scenario31/unit1/camera_data/image_295.jpg,47,./unit1/mmWave_data/mmWave_power_295.txt
296,../scenario31/unit1/camera_data/image_296.jpg,46,./unit1/mmWave_data/mmWave_power_296.txt
297,../scenario31/unit1/camera_data/image_297.jpg,48,./unit1/mmWave_data/mmWave_power_297.txt
298,../scenario31/unit1/camera_data/image_298.jpg,47,./unit1/mmWave_data/mmWave_power_298.txt
299,../scenario31/unit1/camera_data/image_299.jpg,47,./unit1/mmWave_data/mmWave_power_299.txt
300,../scenario31/unit1/camera_data/image_300.jpg,45,./unit1/mmWave_data/mmWave_power_300.txt
301,../scenario31/unit1/camera_data/image_301.jpg,15,./unit1/mmWave_data/mmWave_power_301.txt
302,../scenario31/unit1/camera_data/image_302.jpg,45,./unit1/mmWave_data/mmWave_power_302.txt
303,../scenario31/unit1/camera_data/image_303.jpg,45,./unit1/mmWave_data/mmWave_power_303.txt
304,../scenario31/unit1/camera_data/image_304.jpg,39,./unit1/mmWave_data/mmWave_power_304.txt
305,../scenario31/unit1/camera_data/image_305.jpg,45,./unit1/mmWave_data/mmWave_power_305.txt
306,../scenario31/unit1/camera_data/image_306.jpg,47,./unit1/mmWave_data/mmWave_power_306.txt
307,../scenario31/unit1/camera_data/image_307.jpg,47,./unit1/mmWave_data/mmWave_power_307.txt
308,../scenario31/unit1/camera_data/image_308.jpg,48,./unit1/mmWave_data/mmWave_power_308.txt
309,../scenario31/unit1/camera_data/image_309.jpg,45,./unit1/mmWave_data/mmWave_power_309.txt
310,../scenario31/unit1/camera_data/image_310.jpg,43,./unit1/mmWave_data/mmWave_power_310.txt
311,../scenario31/unit1/camera_data/image_311.jpg,45,./unit1/mmWave_data/mmWave_power_311.txt
312,../scenario31/unit1/camera_data/image_312.jpg,46,./unit1/mmWave_data/mmWave_power_312.txt
313,../scenario31/unit1/camera_data/image_313.jpg,47,./unit1/mmWave_data/mmWave_power_313.txt
314,../scenario31/unit1/camera_data/image_314.jpg,46,./unit1/mmWave_data/mmWave_power_314.txt
315,../scenario31/unit1/camera_data/image_315.jpg,47,./unit1/mmWave_data/mmWave_power_315.txt
316,../scenario31/unit1/camera_data/image_316.jpg,43,./unit1/mmWave_data/mmWave_power_316.txt
317,../scenario31/unit1/camera_data/image_317.jpg,46,./unit1/mmWave_data/mmWave_power_317.txt
318,../scenario31/unit1/camera_data/image_318.jpg,44,./unit1/mmWave_data/mmWave_power_318.txt
319,../scenario31/unit1/camera_data/image_319.jpg,46,./unit1/mmWave_data/mmWave_power_319.txt
320,../scenario31/unit1/camera_data/image_320.jpg,46,./unit1/mmWave_data/mmWave_power_320.txt
321,../scenario31/unit1/camera_data/image_321.jpg,46,./unit1/mmWave_data/mmWave_power_321.txt
322,../scenario31/unit1/camera_data/image_322.jpg,44,./unit1/mmWave_data/mmWave_power_322.txt
323,../scenario31/unit1/camera_data/image_323.jpg,45,./unit1/mmWave_data/mmWave_power_323.txt
324,../scenario31/unit1/camera_data/image_324.jpg,45,./unit1/mmWave_data/mmWave_power_324.txt
325,../scenario31/unit1/camera_data/image_325.jpg,44,./unit1/mmWave_data/mmWave_power_325.txt
326,../scenario31/unit1/camera_data/image_326.jpg,44,./unit1/mmWave_data/mmWave_power_326.txt
327,../scenario31/unit1/camera_data/image_327.jpg,47,./unit1/mmWave_data/mmWave_power_327.txt
328,../scenario31/unit1/camera_data/image_328.jpg,44,./unit1/mmWave_data/mmWave_power_328.txt
329,../scenario31/unit1/camera_data/image_329.jpg,44,./unit1/mmWave_data/mmWave_power_329.txt
330,../scenario31/unit1/camera_data/image_330.jpg,45,./unit1/mmWave_data/mmWave_power_330.txt
331,../scenario31/unit1/camera_data/image_331.jpg,43,./unit1/mmWave_data/mmWave_power_331.txt
332,../scenario31/unit1/camera_data/image_332.jpg,43,./unit1/mmWave_data/mmWave_power_332.txt
333,../scenario31/unit1/camera_data/image_333.jpg,44,./unit1/mmWave_data/mmWave_power_333.txt
334,../scenario31/unit1/camera_data/image_334.jpg,46,./unit1/mmWave_data/mmWave_power_334.txt
335,../scenario31/unit1/camera_data/image_335.jpg,44,./unit1/mmWave_data/mmWave_power_335.txt
336,../scenario31/unit1/camera_data/image_336.jpg,39,./unit1/mmWave_data/mmWave_power_336.txt
337,../scenario31/unit1/camera_data/image_337.jpg,46,./unit1/mmWave_data/mmWave_power_337.txt
338,../scenario31/unit1/camera_data/image_338.jpg,43,./unit1/mmWave_data/mmWave_power_338.txt
339,../scenario31/unit1/camera_data/image_339.jpg,44,./unit1/mmWave_data/mmWave_power_339.txt
340,../scenario31/unit1/camera_data/image_340.jpg,44,./unit1/mmWave_data/mmWave_power_340.txt
341,../scenario31/unit1/camera_data/image_341.jpg,43,./unit1/mmWave_data/mmWave_power_341.txt
342,../scenario31/unit1/camera_data/image_342.jpg,47,./unit1/mmWave_data/mmWave_power_342.txt
343,../scenario31/unit1/camera_data/image_343.jpg,45,./unit1/mmWave_data/mmWave_power_343.txt
344,../scenario31/unit1/camera_data/image_344.jpg,44,./unit1/mmWave_data/mmWave_power_344.txt
345,../scenario31/unit1/camera_data/image_345.jpg,45,./unit1/mmWave_data/mmWave_power_345.txt
