original_index,unit1_rgb,original_unit1_pwr_best-beam,original_unit1_pwr
2487,../scenario31/unit1/camera_data/image_2487.jpg,34,./unit1/mmWave_data/mmWave_power_2487.txt
2543,../scenario31/unit1/camera_data/image_2543.jpg,23,./unit1/mmWave_data/mmWave_power_2543.txt
2766,../scenario31/unit1/camera_data/image_2766.jpg,30,./unit1/mmWave_data/mmWave_power_2766.txt
6693,../scenario31/unit1/camera_data/image_6693.jpg,17,./unit1/mmWave_data/mmWave_power_6693.txt
2892,../scenario31/unit1/camera_data/image_2892.jpg,45,./unit1/mmWave_data/mmWave_power_2892.txt
6611,../scenario31/unit1/camera_data/image_6611.jpg,33,./unit1/mmWave_data/mmWave_power_6611.txt
8321,../scenario31/unit1/camera_data/image_8321.jpg,34,./unit1/mmWave_data/mmWave_power_8321.txt
7856,../scenario31/unit1/camera_data/image_7856.jpg,29,./unit1/mmWave_data/mmWave_power_7856.txt
6720,../scenario31/unit1/camera_data/image_6720.jpg,6,./unit1/mmWave_data/mmWave_power_6720.txt
4240,../scenario31/unit1/camera_data/image_4240.jpg,28,./unit1/mmWave_data/mmWave_power_4240.txt
3207,../scenario31/unit1/camera_data/image_3207.jpg,49,./unit1/mmWave_data/mmWave_power_3207.txt
2580,../scenario31/unit1/camera_data/image_2580.jpg,7,./unit1/mmWave_data/mmWave_power_2580.txt
3699,../scenario31/unit1/camera_data/image_3699.jpg,11,./unit1/mmWave_data/mmWave_power_3699.txt
1392,../scenario31/unit1/camera_data/image_1392.jpg,11,./unit1/mmWave_data/mmWave_power_1392.txt
3559,../scenario31/unit1/camera_data/image_3559.jpg,44,./unit1/mmWave_data/mmWave_power_3559.txt
7603,../scenario31/unit1/camera_data/image_7603.jpg,42,./unit1/mmWave_data/mmWave_power_7603.txt
4506,../scenario31/unit1/camera_data/image_4506.jpg,11,./unit1/mmWave_data/mmWave_power_4506.txt
541,../scenario31/unit1/camera_data/image_541.jpg,3,./unit1/mmWave_data/mmWave_power_541.txt
4937,../scenario31/unit1/camera_data/image_4937.jpg,43,./unit1/mmWave_data/mmWave_power_4937.txt
6910,../scenario31/unit1/camera_data/image_6910.jpg,36,./unit1/mmWave_data/mmWave_power_6910.txt
3254,../scenario31/unit1/camera_data/image_3254.jpg,39,./unit1/mmWave_data/mmWave_power_3254.txt
4269,../scenario31/unit1/camera_data/image_4269.jpg,42,./unit1/mmWave_data/mmWave_power_4269.txt
4777,../scenario31/unit1/camera_data/image_4777.jpg,21,./unit1/mmWave_data/mmWave_power_4777.txt
4728,../scenario31/unit1/camera_data/image_4728.jpg,31,./unit1/mmWave_data/mmWave_power_4728.txt
4342,../scenario31/unit1/camera_data/image_4342.jpg,48,./unit1/mmWave_data/mmWave_power_4342.txt
4035,../scenario31/unit1/camera_data/image_4035.jpg,48,./unit1/mmWave_data/mmWave_power_4035.txt
1400,../scenario31/unit1/camera_data/image_1400.jpg,31,./unit1/mmWave_data/mmWave_power_1400.txt
516,../scenario31/unit1/camera_data/image_516.jpg,22,./unit1/mmWave_data/mmWave_power_516.txt
4023,../scenario31/unit1/camera_data/image_4023.jpg,47,./unit1/mmWave_data/mmWave_power_4023.txt
5023,../scenario31/unit1/camera_data/image_5023.jpg,27,./unit1/mmWave_data/mmWave_power_5023.txt
7124,../scenario31/unit1/camera_data/image_7124.jpg,33,./unit1/mmWave_data/mmWave_power_7124.txt
