original_index,unit1_lidar,original_unit1_pwr_best-beam,original_unit1_pwr
173,../scenario31/unit1/lidar_data/lidar_data_173.ply,3,./unit1/mmWave_data/mmWave_power_173.txt
174,../scenario31/unit1/lidar_data/lidar_data_174.ply,2,./unit1/mmWave_data/mmWave_power_174.txt
175,../scenario31/unit1/lidar_data/lidar_data_175.ply,4,./unit1/mmWave_data/mmWave_power_175.txt
176,../scenario31/unit1/lidar_data/lidar_data_176.ply,6,./unit1/mmWave_data/mmWave_power_176.txt
177,../scenario31/unit1/lidar_data/lidar_data_177.ply,6,./unit1/mmWave_data/mmWave_power_177.txt
178,../scenario31/unit1/lidar_data/lidar_data_178.ply,5,./unit1/mmWave_data/mmWave_power_178.txt
179,../scenario31/unit1/lidar_data/lidar_data_179.ply,10,./unit1/mmWave_data/mmWave_power_179.txt
180,../scenario31/unit1/lidar_data/lidar_data_180.ply,13,./unit1/mmWave_data/mmWave_power_180.txt
181,../scenario31/unit1/lidar_data/lidar_data_181.ply,10,./unit1/mmWave_data/mmWave_power_181.txt
182,../scenario31/unit1/lidar_data/lidar_data_182.ply,13,./unit1/mmWave_data/mmWave_power_182.txt
183,../scenario31/unit1/lidar_data/lidar_data_183.ply,13,./unit1/mmWave_data/mmWave_power_183.txt
184,../scenario31/unit1/lidar_data/lidar_data_184.ply,16,./unit1/mmWave_data/mmWave_power_184.txt
185,../scenario31/unit1/lidar_data/lidar_data_185.ply,16,./unit1/mmWave_data/mmWave_power_185.txt
186,../scenario31/unit1/lidar_data/lidar_data_186.ply,23,./unit1/mmWave_data/mmWave_power_186.txt
187,../scenario31/unit1/lidar_data/lidar_data_187.ply,16,./unit1/mmWave_data/mmWave_power_187.txt
188,../scenario31/unit1/lidar_data/lidar_data_188.ply,31,./unit1/mmWave_data/mmWave_power_188.txt
189,../scenario31/unit1/lidar_data/lidar_data_189.ply,20,./unit1/mmWave_data/mmWave_power_189.txt
190,../scenario31/unit1/lidar_data/lidar_data_190.ply,21,./unit1/mmWave_data/mmWave_power_190.txt
