original_index,unit2_gps_nor,original_unit1_pwr_best-beam,original_unit1_pwr
173,"[0.9898567814874992, 0.010360149983625925]",3,./unit1/mmWave_data/mmWave_power_173.txt
174,"[0.9843552202045918, 0.013131431560742157]",2,./unit1/mmWave_data/mmWave_power_174.txt
175,"[0.9788262879872025, 0.016066417298815434]",4,./unit1/mmWave_data/mmWave_power_175.txt
176,"[0.9732517374840908, 0.01884939222256812]",6,./unit1/mmWave_data/mmWave_power_176.txt
177,"[0.9676156023492225, 0.021527127923910493]",6,./unit1/mmWave_data/mmWave_power_177.txt
178,"[0.9619543771878379, 0.02489476130601015]",5,./unit1/mmWave_data/mmWave_power_178.txt
179,"[0.9562087582566978, 0.028344247017843265]",10,./unit1/mmWave_data/mmWave_power_179.txt
180,"[0.9504198019575247, 0.0315481761392839]",13,./unit1/mmWave_data/mmWave_power_180.txt
181,"[0.9446057556318354, 0.0348222636456097]",10,./unit1/mmWave_data/mmWave_power_181.txt
182,"[0.9387346865000444, 0.03788587470115435]",13,./unit1/mmWave_data/mmWave_power_182.txt
183,"[0.9327951900028767, 0.04119504234709148]",13,./unit1/mmWave_data/mmWave_power_183.txt
184,"[0.9268511316703297, 0.044819924968306245]",16,./unit1/mmWave_data/mmWave_power_184.txt
185,"[0.9208546123378882, 0.04847988782883433]",16,./unit1/mmWave_data/mmWave_power_185.txt
186,"[0.9148124747586207, 0.05182413431825712]",23,./unit1/mmWave_data/mmWave_power_186.txt
187,"[0.9087703371988014, 0.05486435927874072]",16,./unit1/mmWave_data/mmWave_power_187.txt
188,"[0.9026552104187778, 0.05822029911479997]",31,./unit1/mmWave_data/mmWave_power_188.txt
189,"[0.8964465662079645, 0.06207904567768458]",20,./unit1/mmWave_data/mmWave_power_189.txt
190,"[0.8901786182733602, 0.0661833487312597]",21,./unit1/mmWave_data/mmWave_power_190.txt
191,"[0.8838947039343772, 0.06976145916235234]",23,./unit1/mmWave_data/mmWave_power_191.txt
192,"[0.8775469240653964, 0.07276660458143644]",21,./unit1/mmWave_data/mmWave_power_192.txt
193,"[0.8711603686734859, 0.07606407888073712]",25,./unit1/mmWave_data/mmWave_power_193.txt
194,"[0.8647760942187133, 0.07989943855094488]",25,./unit1/mmWave_data/mmWave_power_194.txt
195,"[0.8583530442118387, 0.08369971937766696]",25,./unit1/mmWave_data/mmWave_power_195.txt
196,"[0.8518752523360004, 0.0871258182965252]",38,./unit1/mmWave_data/mmWave_power_196.txt
197,"[0.8453449994310952, 0.09052853112032237]",27,./unit1/mmWave_data/mmWave_power_197.txt
198,"[0.8387805328678117, 0.0941417210928145]",28,./unit1/mmWave_data/mmWave_power_198.txt
199,"[0.8322023807983909, 0.09815247896852958]",28,./unit1/mmWave_data/mmWave_power_199.txt
200,"[0.8255991387121778, 0.10184752137045713]",29,./unit1/mmWave_data/mmWave_power_200.txt
