original_index,unit2_gps_nor,original_unit1_pwr_best-beam,original_unit1_pwr
2487,"[0.6702279315932295, 0.6582436861271191]",34,./unit1/mmWave_data/mmWave_power_2487.txt
2543,"[0.8179215867863133, 0.5858629562019713]",23,./unit1/mmWave_data/mmWave_power_2543.txt
2766,"[0.7406693566154444, 0.5957319929051103]",30,./unit1/mmWave_data/mmWave_power_2766.txt
6693,"[0.870807967682964, 0.5301683813759812]",17,./unit1/mmWave_data/mmWave_power_6693.txt
2892,"[0.5463059479435747, 0.25868802653951056]",45,./unit1/mmWave_data/mmWave_power_2892.txt
6611,"[0.6994213324560172, 0.608454162916887]",33,./unit1/mmWave_data/mmWave_power_6611.txt
8321,"[0.6972989432572134, 0.6598398039646703]",34,./unit1/mmWave_data/mmWave_power_8321.txt
7856,"[0.7497268607095701, 0.623058934019984]",29,./unit1/mmWave_data/mmWave_power_7856.txt
6720,"[0.9537020352586146, 0.026543498455660487]",6,./unit1/mmWave_data/mmWave_power_6720.txt
4240,"[0.8378784319198955, 0.10809167475446754]",28,./unit1/mmWave_data/mmWave_power_4240.txt
3207,"[0.14957540810560307, 0.9100561272383226]",49,./unit1/mmWave_data/mmWave_power_3207.txt
2580,"[0.9538411709167822, 0.0284962584303757]",7,./unit1/mmWave_data/mmWave_power_2580.txt
3699,"[0.930776582310983, 0.07212347998811905]",11,./unit1/mmWave_data/mmWave_power_3699.txt
1392,"[0.951478145431694, 0.029992984167493603]",11,./unit1/mmWave_data/mmWave_power_1392.txt
3559,"[0.41097712016249865, 0.7809752107284674]",44,./unit1/mmWave_data/mmWave_power_3559.txt
7603,"[0.5009568428606384, 0.7413938259896268]",42,./unit1/mmWave_data/mmWave_power_7603.txt
4506,"[0.913010553790202, 0.561459308176448]",11,./unit1/mmWave_data/mmWave_power_4506.txt
541,"[0.9707427335877663, 0.4956267538621634]",3,./unit1/mmWave_data/mmWave_power_541.txt
4937,"[0.40518930434648065, 0.7864183816825647]",43,./unit1/mmWave_data/mmWave_power_4937.txt
6910,"[0.6604496591331295, 0.6576356409754993]",36,./unit1/mmWave_data/mmWave_power_6910.txt
3254,"[0.5467780968356614, 0.7259705333838308]",39,./unit1/mmWave_data/mmWave_power_3254.txt
4269,"[0.6435823101496958, 0.2086412533922495]",42,./unit1/mmWave_data/mmWave_power_4269.txt
4777,"[0.8500413985588244, 0.5662535081131645]",21,./unit1/mmWave_data/mmWave_power_4777.txt
4728,"[0.7208733158240461, 0.6318054255977433]",31,./unit1/mmWave_data/mmWave_power_4728.txt
4342,"[0.15286220322262392, 0.9177385407229904]",48,./unit1/mmWave_data/mmWave_power_4342.txt
4035,"[0.38705490840162665, 0.322661365857536]",48,./unit1/mmWave_data/mmWave_power_4035.txt
1400,"[0.8995759783350255, 0.052782974584765975]",31,./unit1/mmWave_data/mmWave_power_1400.txt
516,"[0.830122188484465, 0.5655168383419872]",22,./unit1/mmWave_data/mmWave_power_516.txt
4023,"[0.4830493977348279, 0.2695509823526441]",47,./unit1/mmWave_data/mmWave_power_4023.txt
5023,"[0.7796090971879195, 0.593732460640571]",27,./unit1/mmWave_data/mmWave_power_5023.txt
7124,"[0.6883634679920663, 0.6472871844382119]",33,./unit1/mmWave_data/mmWave_power_7124.txt
3551,"[0.3538653485956709, 0.8173409727998271]",48,./unit1/mmWave_data/mmWave_power_3551.txt
404,"[0.569336322842375, 0.687558466060194]",38,./unit1/mmWave_data/mmWave_power_404.txt
4200,"[0.8862166730080185, 0.5385056129003047]",16,./unit1/mmWave_data/mmWave_power_4200.txt
4925,"[0.31990940214774255, 0.8304607109142308]",46,./unit1/mmWave_data/mmWave_power_4925.txt
4926,"[0.32654457699409245, 0.8270579980904336]",47,./unit1/mmWave_data/mmWave_power_4926.txt
4397,"[0.5408773758516991, 0.7351496732038283]",39,./unit1/mmWave_data/mmWave_power_4397.txt
7925,"[0.9017839017672916, 0.04079162801980525]",17,./unit1/mmWave_data/mmWave_power_7925.txt
6959,"[0.7686059746221044, 0.5949368567995584]",48,./unit1/mmWave_data/mmWave_power_6959.txt
8086,"[0.8460817342306206, 0.5552034613460991]",21,./unit1/mmWave_data/mmWave_power_8086.txt
6640,"[0.7228052488479428, 0.5986085130067229]",33,./unit1/mmWave_data/mmWave_power_6640.txt
