original_index,unit1_rgb3,original_unit1_pwr3_best-beam,original_unit1_pwr3
24474,../scenario36/unit1/rgb3/frame_13-36-44.319948.jpg,35,./unit1/pwr3/pwr_13-36-43.649956.txt
31509,../scenario36/unit1/rgb3/frame_13-48-30.499136.jpg,32,./unit1/pwr3/pwr_13-48-29.850095.txt
30048,../scenario36/unit1/rgb3/frame_13-46-04.418410.jpg,36,./unit1/pwr3/pwr_13-46-03.750593.txt
25485,../scenario36/unit1/rgb3/frame_13-38-25.421958.jpg,3,./unit1/pwr3/pwr_13-38-24.750572.txt
14803,../scenario36/unit1/rgb3/frame_12-13-42.243373.jpg,47,./unit1/pwr3/pwr_12-13-41.588738.txt
28929,../scenario36/unit1/rgb3/frame_13-44-12.505492.jpg,47,./unit1/pwr3/pwr_13-44-11.850667.txt
12614,../scenario36/unit1/rgb3/frame_12-10-03.355853.jpg,34,./unit1/pwr3/pwr_12-10-02.688769.txt
6375,../scenario36/unit1/rgb3/frame_11-52-41.312582.jpg,29,./unit1/pwr3/pwr_11-52-40.659788.txt
3989,../scenario36/unit1/rgb3/frame_11-48-42.705165.jpg,34,./unit1/pwr3/pwr_11-48-42.059714.txt
9365,../scenario36/unit1/rgb3/frame_11-57-40.314269.jpg,46,./unit1/pwr3/pwr_11-57-39.659785.txt
6158,../scenario36/unit1/rgb3/frame_11-52-19.624032.jpg,36,./unit1/pwr3/pwr_11-52-18.959793.txt
15532,../scenario36/unit1/rgb3/frame_12-14-55.150268.jpg,59,./unit1/pwr3/pwr_12-14-54.489221.txt
32060,../scenario36/unit1/rgb3/frame_13-49-26.388861.jpg,34,./unit1/pwr3/pwr_13-49-25.750188.txt
27102,../scenario36/unit1/rgb3/frame_13-41-09.020359.jpg,18,./unit1/pwr3/pwr_13-41-08.350189.txt
4790,../scenario36/unit1/rgb3/frame_11-50-02.819332.jpg,37,./unit1/pwr3/pwr_11-50-02.159816.txt
17619,../scenario36/unit1/rgb3/frame_12-18-23.827486.jpg,41,./unit1/pwr3/pwr_12-18-23.188547.txt
10781,../scenario36/unit1/rgb3/frame_12-04-21.552444.jpg,22,./unit1/pwr3/pwr_12-04-20.908834.txt
6045,../scenario36/unit1/rgb3/frame_11-52-08.312619.jpg,37,./unit1/pwr3/pwr_11-52-07.660257.txt
10945,../scenario36/unit1/rgb3/frame_12-04-37.969008.jpg,8,./unit1/pwr3/pwr_12-04-37.309223.txt
27085,../scenario36/unit1/rgb3/frame_13-41-07.318642.jpg,2,./unit1/pwr3/pwr_13-41-06.650430.txt
14025,../scenario36/unit1/rgb3/frame_12-12-24.431529.jpg,43,./unit1/pwr3/pwr_12-12-23.789237.txt
3061,../scenario36/unit1/rgb3/frame_11-47-09.911538.jpg,25,./unit1/pwr3/pwr_11-47-09.259700.txt
8680,../scenario36/unit1/rgb3/frame_11-56-31.811818.jpg,28,./unit1/pwr3/pwr_11-56-31.159414.txt
12107,../scenario36/unit1/rgb3/frame_12-09-12.638013.jpg,33,./unit1/pwr3/pwr_12-09-11.988437.txt
18654,../scenario36/unit1/rgb3/frame_12-20-07.331920.jpg,30,./unit1/pwr3/pwr_12-20-06.689189.txt
10251,../scenario36/unit1/rgb3/frame_12-03-28.565648.jpg,8,./unit1/pwr3/pwr_12-03-27.909213.txt
3701,../scenario36/unit1/rgb3/frame_11-48-13.909444.jpg,32,./unit1/pwr3/pwr_11-48-13.259758.txt
15361,../scenario36/unit1/rgb3/frame_12-14-38.032997.jpg,22,./unit1/pwr3/pwr_12-14-37.389154.txt
26386,../scenario36/unit1/rgb3/frame_13-39-56.313666.jpg,61,./unit1/pwr3/pwr_13-39-55.649811.txt
14531,../scenario36/unit1/rgb3/frame_12-13-15.049268.jpg,5,./unit1/pwr3/pwr_12-13-14.389261.txt
32054,../scenario36/unit1/rgb3/frame_13-49-25.821622.jpg,34,./unit1/pwr3/pwr_13-49-25.150649.txt
16288,../scenario36/unit1/rgb3/frame_12-16-10.759890.jpg,28,./unit1/pwr3/pwr_12-16-10.089273.txt
16911,../scenario36/unit1/rgb3/frame_12-17-13.056079.jpg,6,./unit1/pwr3/pwr_12-17-12.389226.txt
31590,../scenario36/unit1/rgb3/frame_13-48-38.607317.jpg,34,./unit1/pwr3/pwr_13-48-37.950578.txt
23830,../scenario36/unit1/rgb3/frame_13-35-39.921638.jpg,34,./unit1/pwr3/pwr_13-35-39.250675.txt
8577,../scenario36/unit1/rgb3/frame_11-56-21.501415.jpg,35,./unit1/pwr3/pwr_11-56-20.859712.txt
19189,../scenario36/unit1/rgb3/frame_12-21-00.852588.jpg,12,./unit1/pwr3/pwr_12-21-00.189038.txt
16185,../scenario36/unit1/rgb3/frame_12-16-00.449487.jpg,20,./unit1/pwr3/pwr_12-15-59.789025.txt
15304,../scenario36/unit1/rgb3/frame_12-14-32.327240.jpg,54,./unit1/pwr3/pwr_12-14-31.688332.txt
11105,../scenario36/unit1/rgb3/frame_12-04-53.951801.jpg,55,./unit1/pwr3/pwr_12-04-53.308423.txt
13519,../scenario36/unit1/rgb3/frame_12-11-33.847157.jpg,34,./unit1/pwr3/pwr_12-11-33.188446.txt
28194,../scenario36/unit1/rgb3/frame_13-42-58.997991.jpg,28,./unit1/pwr3/pwr_13-42-58.350152.txt
26179,../scenario36/unit1/rgb3/frame_13-39-35.592759.jpg,17,./unit1/pwr3/pwr_13-39-34.950206.txt
20895,../scenario36/unit1/rgb3/frame_12-23-51.458059.jpg,58,./unit1/pwr3/pwr_12-23-50.788714.txt
22018,../scenario36/unit1/rgb3/frame_12-25-44.638923.jpg,36,./unit1/pwr3/pwr_12-25-43.989057.txt
2869,../scenario36/unit1/rgb3/frame_11-46-50.725513.jpg,34,./unit1/pwr3/pwr_11-46-50.059426.txt
27471,../scenario36/unit1/rgb3/frame_13-41-45.890894.jpg,37,./unit1/pwr3/pwr_13-41-45.249841.txt
