original_index,unit1_lidar1,original_unit1_pwr3_best-beam,original_unit1_pwr3
2674,../scenario36/unit1/lidar1/lidar_frame_11-46-32.474528.csv,34,./unit1/pwr3/pwr_11-46-30.559536.txt
2675,../scenario36/unit1/lidar1/lidar_frame_11-46-32.574603.csv,33,./unit1/pwr3/pwr_11-46-30.659452.txt
2676,../scenario36/unit1/lidar1/lidar_frame_11-46-32.674663.csv,34,./unit1/pwr3/pwr_11-46-30.759397.txt
2677,../scenario36/unit1/lidar1/lidar_frame_11-46-32.774699.csv,34,./unit1/pwr3/pwr_11-46-30.859787.txt
2678,../scenario36/unit1/lidar1/lidar_frame_11-46-32.874705.csv,33,./unit1/pwr3/pwr_11-46-30.960223.txt
2679,../scenario36/unit1/lidar1/lidar_frame_11-46-32.974673.csv,33,./unit1/pwr3/pwr_11-46-31.059998.txt
2680,../scenario36/unit1/lidar1/lidar_frame_11-46-33.074633.csv,34,./unit1/pwr3/pwr_11-46-31.159664.txt
2681,../scenario36/unit1/lidar1/lidar_frame_11-46-33.174575.csv,33,./unit1/pwr3/pwr_11-46-31.259686.txt
2682,../scenario36/unit1/lidar1/lidar_frame_11-46-33.274552.csv,34,./unit1/pwr3/pwr_11-46-31.360005.txt
2683,../scenario36/unit1/lidar1/lidar_frame_11-46-33.374547.csv,33,./unit1/pwr3/pwr_11-46-31.459994.txt
2684,../scenario36/unit1/lidar1/lidar_frame_11-46-33.474543.csv,33,./unit1/pwr3/pwr_11-46-31.559757.txt
2685,../scenario36/unit1/lidar1/lidar_frame_11-46-33.574559.csv,33,./unit1/pwr3/pwr_11-46-31.659640.txt
2686,../scenario36/unit1/lidar1/lidar_frame_11-46-33.674547.csv,34,./unit1/pwr3/pwr_11-46-31.759610.txt
2687,../scenario36/unit1/lidar1/lidar_frame_11-46-33.774523.csv,33,./unit1/pwr3/pwr_11-46-31.859441.txt
2688,../scenario36/unit1/lidar1/lidar_frame_11-46-33.874498.csv,33,./unit1/pwr3/pwr_11-46-31.959645.txt
2689,../scenario36/unit1/lidar1/lidar_frame_11-46-33.974457.csv,33,./unit1/pwr3/pwr_11-46-32.059402.txt
2690,../scenario36/unit1/lidar1/lidar_frame_11-46-34.074426.csv,33,./unit1/pwr3/pwr_11-46-32.160005.txt
2691,../scenario36/unit1/lidar1/lidar_frame_11-46-34.174418.csv,33,./unit1/pwr3/pwr_11-46-32.260057.txt
2692,../scenario36/unit1/lidar1/lidar_frame_11-46-34.274457.csv,33,./unit1/pwr3/pwr_11-46-32.360235.txt
2693,../scenario36/unit1/lidar1/lidar_frame_11-46-34.374548.csv,34,./unit1/pwr3/pwr_11-46-32.459934.txt
2694,../scenario36/unit1/lidar1/lidar_frame_11-46-34.474604.csv,33,./unit1/pwr3/pwr_11-46-32.560175.txt
2695,../scenario36/unit1/lidar1/lidar_frame_11-46-34.574618.csv,33,./unit1/pwr3/pwr_11-46-32.660241.txt
2696,../scenario36/unit1/lidar1/lidar_frame_11-46-34.674611.csv,33,./unit1/pwr3/pwr_11-46-32.759708.txt
2697,../scenario36/unit1/lidar1/lidar_frame_11-46-34.774570.csv,33,./unit1/pwr3/pwr_11-46-32.859837.txt
2698,../scenario36/unit1/lidar1/lidar_frame_11-46-34.874497.csv,33,./unit1/pwr3/pwr_11-46-32.959544.txt
2699,../scenario36/unit1/lidar1/lidar_frame_11-46-34.974429.csv,34,./unit1/pwr3/pwr_11-46-33.059587.txt
2700,../scenario36/unit1/lidar1/lidar_frame_11-46-35.074342.csv,33,./unit1/pwr3/pwr_11-46-33.159992.txt
2701,../scenario36/unit1/lidar1/lidar_frame_11-46-35.174238.csv,34,./unit1/pwr3/pwr_11-46-33.259836.txt
2702,../scenario36/unit1/lidar1/lidar_frame_11-46-35.274177.csv,33,./unit1/pwr3/pwr_11-46-33.360067.txt
2703,../scenario36/unit1/lidar1/lidar_frame_11-46-35.374152.csv,33,./unit1/pwr3/pwr_11-46-33.460223.txt
2704,../scenario36/unit1/lidar1/lidar_frame_11-46-35.474185.csv,33,./unit1/pwr3/pwr_11-46-33.559578.txt
2705,../scenario36/unit1/lidar1/lidar_frame_11-46-35.574261.csv,33,./unit1/pwr3/pwr_11-46-33.659265.txt
2706,../scenario36/unit1/lidar1/lidar_frame_11-46-35.674345.csv,34,./unit1/pwr3/pwr_11-46-33.760150.txt
2707,../scenario36/unit1/lidar1/lidar_frame_11-46-35.774449.csv,34,./unit1/pwr3/pwr_11-46-33.859334.txt
2708,../scenario36/unit1/lidar1/lidar_frame_11-46-35.874532.csv,34,./unit1/pwr3/pwr_11-46-33.959720.txt
2709,../scenario36/unit1/lidar1/lidar_frame_11-46-35.974521.csv,34,./unit1/pwr3/pwr_11-46-34.060007.txt
2710,../scenario36/unit1/lidar1/lidar_frame_11-46-36.074474.csv,34,./unit1/pwr3/pwr_11-46-34.160186.txt
2711,../scenario36/unit1/lidar1/lidar_frame_11-46-36.174401.csv,34,./unit1/pwr3/pwr_11-46-34.259513.txt
2712,../scenario36/unit1/lidar1/lidar_frame_11-46-36.274326.csv,33,./unit1/pwr3/pwr_11-46-34.359670.txt
2713,../scenario36/unit1/lidar1/lidar_frame_11-46-36.374239.csv,34,./unit1/pwr3/pwr_11-46-34.459702.txt
2714,../scenario36/unit1/lidar1/lidar_frame_11-46-36.474166.csv,33,./unit1/pwr3/pwr_11-46-34.559783.txt
2715,../scenario36/unit1/lidar1/lidar_frame_11-46-36.574127.csv,33,./unit1/pwr3/pwr_11-46-34.659312.txt
2716,../scenario36/unit1/lidar1/lidar_frame_11-46-36.724119.csv,33,./unit1/pwr3/pwr_11-46-34.759515.txt
2717,../scenario36/unit1/lidar1/lidar_frame_11-46-36.774123.csv,33,./unit1/pwr3/pwr_11-46-34.860171.txt
2718,../scenario36/unit1/lidar1/lidar_frame_11-46-36.874148.csv,34,./unit1/pwr3/pwr_11-46-34.959371.txt
2719,../scenario36/unit1/lidar1/lidar_frame_11-46-36.974202.csv,33,./unit1/pwr3/pwr_11-46-35.060027.txt
2720,../scenario36/unit1/lidar1/lidar_frame_11-46-37.074268.csv,33,./unit1/pwr3/pwr_11-46-35.159567.txt
2721,../scenario36/unit1/lidar1/lidar_frame_11-46-37.174328.csv,33,./unit1/pwr3/pwr_11-46-35.259667.txt
2722,../scenario36/unit1/lidar1/lidar_frame_11-46-37.274352.csv,34,./unit1/pwr3/pwr_11-46-35.359554.txt
2723,../scenario36/unit1/lidar1/lidar_frame_11-46-37.374333.csv,33,./unit1/pwr3/pwr_11-46-35.460175.txt
2724,../scenario36/unit1/lidar1/lidar_frame_11-46-37.474307.csv,33,./unit1/pwr3/pwr_11-46-35.559414.txt
2725,../scenario36/unit1/lidar1/lidar_frame_11-46-37.574300.csv,34,./unit1/pwr3/pwr_11-46-35.659697.txt
2726,../scenario36/unit1/lidar1/lidar_frame_11-46-37.674294.csv,34,./unit1/pwr3/pwr_11-46-35.759665.txt
2727,../scenario36/unit1/lidar1/lidar_frame_11-46-37.774291.csv,33,./unit1/pwr3/pwr_11-46-35.859811.txt
2728,../scenario36/unit1/lidar1/lidar_frame_11-46-37.874272.csv,34,./unit1/pwr3/pwr_11-46-35.959608.txt
2729,../scenario36/unit1/lidar1/lidar_frame_11-46-37.974228.csv,33,./unit1/pwr3/pwr_11-46-36.060214.txt
2730,../scenario36/unit1/lidar1/lidar_frame_11-46-38.074166.csv,33,./unit1/pwr3/pwr_11-46-36.159352.txt
2731,../scenario36/unit1/lidar1/lidar_frame_11-46-38.174085.csv,33,./unit1/pwr3/pwr_11-46-36.259419.txt
2732,../scenario36/unit1/lidar1/lidar_frame_11-46-38.274012.csv,33,./unit1/pwr3/pwr_11-46-36.359937.txt
2733,../scenario36/unit1/lidar1/lidar_frame_11-46-38.373978.csv,33,./unit1/pwr3/pwr_11-46-36.460046.txt
2734,../scenario36/unit1/lidar1/lidar_frame_11-46-38.473990.csv,34,./unit1/pwr3/pwr_11-46-36.560143.txt
