original_index,unit1_lidar1,original_unit1_pwr3_best-beam,original_unit1_pwr3
24474,../scenario36/unit1/lidar1/lidar_frame_13-36-45.570849.csv,35,./unit1/pwr3/pwr_13-36-43.649956.txt
31509,../scenario36/unit1/lidar1/lidar_frame_13-48-31.799882.csv,32,./unit1/pwr3/pwr_13-48-29.850095.txt
30048,../scenario36/unit1/lidar1/lidar_frame_13-46-05.665378.csv,36,./unit1/pwr3/pwr_13-46-03.750593.txt
25485,../scenario36/unit1/lidar1/lidar_frame_13-38-26.710510.csv,3,./unit1/pwr3/pwr_13-38-24.750572.txt
14803,../scenario36/unit1/lidar1/lidar_frame_12-13-43.510467.csv,47,./unit1/pwr3/pwr_12-13-41.588738.txt
28929,../scenario36/unit1/lidar1/lidar_frame_13-44-13.775631.csv,47,./unit1/pwr3/pwr_13-44-11.850667.txt
12614,../scenario36/unit1/lidar1/lidar_frame_12-10-04.631963.csv,34,./unit1/pwr3/pwr_12-10-02.688769.txt
6375,../scenario36/unit1/lidar1/lidar_frame_11-52-42.587168.csv,29,./unit1/pwr3/pwr_11-52-40.659788.txt
3989,../scenario36/unit1/lidar1/lidar_frame_11-48-44.011510.csv,34,./unit1/pwr3/pwr_11-48-42.059714.txt
9365,../scenario36/unit1/lidar1/lidar_frame_11-57-41.607338.csv,46,./unit1/pwr3/pwr_11-57-39.659785.txt
6158,../scenario36/unit1/lidar1/lidar_frame_11-52-20.889648.csv,36,./unit1/pwr3/pwr_11-52-18.959793.txt
15532,../scenario36/unit1/lidar1/lidar_frame_12-14-56.403032.csv,59,./unit1/pwr3/pwr_12-14-54.489221.txt
32060,../scenario36/unit1/lidar1/lidar_frame_13-49-27.693956.csv,34,./unit1/pwr3/pwr_13-49-25.750188.txt
27102,../scenario36/unit1/lidar1/lidar_frame_13-41-10.294246.csv,18,./unit1/pwr3/pwr_13-41-08.350189.txt
4790,../scenario36/unit1/lidar1/lidar_frame_11-50-04.103325.csv,37,./unit1/pwr3/pwr_11-50-02.159816.txt
17619,../scenario36/unit1/lidar1/lidar_frame_12-18-25.131647.csv,41,./unit1/pwr3/pwr_12-18-23.188547.txt
10781,../scenario36/unit1/lidar1/lidar_frame_12-04-22.866761.csv,22,./unit1/pwr3/pwr_12-04-20.908834.txt
6045,../scenario36/unit1/lidar1/lidar_frame_11-52-09.590685.csv,37,./unit1/pwr3/pwr_11-52-07.660257.txt
10945,../scenario36/unit1/lidar1/lidar_frame_12-04-39.264941.csv,8,./unit1/pwr3/pwr_12-04-37.309223.txt
27085,../scenario36/unit1/lidar1/lidar_frame_13-41-08.594528.csv,2,./unit1/pwr3/pwr_13-41-06.650430.txt
14025,../scenario36/unit1/lidar1/lidar_frame_12-12-25.718177.csv,43,./unit1/pwr3/pwr_12-12-23.789237.txt
3061,../scenario36/unit1/lidar1/lidar_frame_11-47-11.221197.csv,25,./unit1/pwr3/pwr_11-47-09.259700.txt
