original_index,unit2_gps_nor,original_unit1_pwr3_best-beam,original_unit1_pwr3
2674,"[0.9980334602568945, 0.3743946634916047]",34,./unit1/pwr3/pwr_11-46-30.559536.txt
2675,"[0.9980334569026714, 0.37439455447300757]",33,./unit1/pwr3/pwr_11-46-30.659452.txt
2676,"[0.9980334535484054, 0.37439444545466394]",34,./unit1/pwr3/pwr_11-46-30.759397.txt
2677,"[0.9980334501941824, 0.37439433643594006]",34,./unit1/pwr3/pwr_11-46-30.859787.txt
2678,"[0.9980334065890248, 0.3743942769711585]",33,./unit1/pwr3/pwr_11-46-30.960223.txt
2679,"[0.9980333193786668, 0.3743941580419757]",33,./unit1/pwr3/pwr_11-46-31.059998.txt
2680,"[0.9980332992531995, 0.37439419768507887]",34,./unit1/pwr3/pwr_11-46-31.159664.txt
2681,"[0.9980332791277323, 0.37439423732830884]",33,./unit1/pwr3/pwr_11-46-31.259686.txt
2682,"[0.998033259002265, 0.37439427697141203]",34,./unit1/pwr3/pwr_11-46-31.360005.txt
2683,"[0.9980332355225319, 0.374394247239148]",33,./unit1/pwr3/pwr_11-46-31.459994.txt
2684,"[0.9980331885631083, 0.37439418777461997]",33,./unit1/pwr3/pwr_11-46-31.559757.txt
2685,"[0.9980331785003961, 0.3743941084884136]",33,./unit1/pwr3/pwr_11-46-31.659640.txt
2686,"[0.998033168437641, 0.3743940292019537]",34,./unit1/pwr3/pwr_11-46-31.759610.txt
2687,"[0.9980331583749289, 0.37439394991587405]",33,./unit1/pwr3/pwr_11-46-31.859441.txt
2688,"[0.9980331483121738, 0.3743938607188285]",33,./unit1/pwr3/pwr_11-46-31.959645.txt
2689,"[0.9980331281867065, 0.37439368232499093]",33,./unit1/pwr3/pwr_11-46-32.059402.txt
2690,"[0.9980331416036847, 0.3743936278157557]",33,./unit1/pwr3/pwr_11-46-32.160005.txt
2691,"[0.9980331550206629, 0.37439357330664724]",33,./unit1/pwr3/pwr_11-46-32.260057.txt
2692,"[0.998033168437641, 0.37439351879728533]",33,./unit1/pwr3/pwr_11-46-32.360235.txt
2693,"[0.9980331919173743, 0.37439346924334294]",34,./unit1/pwr3/pwr_11-46-32.459934.txt
2694,"[0.9980332388767978, 0.37439337013558494]",33,./unit1/pwr3/pwr_11-46-32.560175.txt
2695,"[0.99803324893951, 0.37439335526945294]",33,./unit1/pwr3/pwr_11-46-32.660241.txt
2696,"[0.998033259002265, 0.37439334040332095]",33,./unit1/pwr3/pwr_11-46-32.759708.txt
2697,"[0.9980332690649772, 0.37439332553706217]",33,./unit1/pwr3/pwr_11-46-32.859837.txt
2698,"[0.9980332724192432, 0.37439336518003863]",33,./unit1/pwr3/pwr_11-46-32.959544.txt
2699,"[0.9980332791277323, 0.37439344446637174]",34,./unit1/pwr3/pwr_11-46-33.059587.txt
2700,"[0.9980332992531995, 0.37439343951095216]",33,./unit1/pwr3/pwr_11-46-33.159992.txt
2701,"[0.9980333193786668, 0.3743934345555326]",34,./unit1/pwr3/pwr_11-46-33.259836.txt
2702,"[0.998033339504134, 0.374393429600113]",33,./unit1/pwr3/pwr_11-46-33.360067.txt
2703,"[0.9980333797550685, 0.3743934345555326]",33,./unit1/pwr3/pwr_11-46-33.460223.txt
2704,"[0.9980334602568945, 0.37439344446637174]",33,./unit1/pwr3/pwr_11-46-33.559578.txt
2705,"[0.9980334803823618, 0.37439347915405535]",33,./unit1/pwr3/pwr_11-46-33.659265.txt
2706,"[0.998033500507829, 0.3743935138418657]",34,./unit1/pwr3/pwr_11-46-33.760150.txt
2707,"[0.9980335206332963, 0.3743935485294226]",34,./unit1/pwr3/pwr_11-46-33.859334.txt
2708,"[0.9980335273417853, 0.37439358817252577]",34,./unit1/pwr3/pwr_11-46-33.959720.txt
2709,"[0.9980335407587635, 0.37439366745860536]",34,./unit1/pwr3/pwr_11-46-34.060007.txt
2710,"[0.9980335675927199, 0.37439369223557656]",34,./unit1/pwr3/pwr_11-46-34.160186.txt
2711,"[0.9980335944266762, 0.37439371701254776]",34,./unit1/pwr3/pwr_11-46-34.259513.txt
2712,"[0.9980336212606324, 0.3743937417896457]",33,./unit1/pwr3/pwr_11-46-34.359670.txt
2713,"[0.9980336179064094, 0.37439369719124965]",34,./unit1/pwr3/pwr_11-46-34.459702.txt
2714,"[0.9980336111979203, 0.37439360799407734]",33,./unit1/pwr3/pwr_11-46-34.559783.txt
2715,"[0.9980335977809421, 0.37439356835097415]",33,./unit1/pwr3/pwr_11-46-34.659312.txt
2716,"[0.9980335843639639, 0.3743935287077442]",33,./unit1/pwr3/pwr_11-46-34.759515.txt
2717,"[0.9980335709469859, 0.37439348906464104]",33,./unit1/pwr3/pwr_11-46-34.860171.txt
2718,"[0.9980335675927199, 0.3743934841092214]",34,./unit1/pwr3/pwr_11-46-34.959371.txt
2719,"[0.9980335608842308, 0.3743934741986358]",33,./unit1/pwr3/pwr_11-46-35.060027.txt
2720,"[0.9980335508215186, 0.37439347915380183]",33,./unit1/pwr3/pwr_11-46-35.159567.txt
2721,"[0.9980335407587635, 0.3743934841092214]",33,./unit1/pwr3/pwr_11-46-35.259667.txt
2722,"[0.9980335306960514, 0.37439348906464104]",34,./unit1/pwr3/pwr_11-46-35.359554.txt
2723,"[0.9980335172790732, 0.37439347915380183]",33,./unit1/pwr3/pwr_11-46-35.460175.txt
2724,"[0.9980334904451169, 0.3743934593325038]",33,./unit1/pwr3/pwr_11-46-35.559414.txt
2725,"[0.998033503862095, 0.37439343951095216]",34,./unit1/pwr3/pwr_11-46-35.659697.txt
2726,"[0.9980335172790732, 0.3743934196892738]",34,./unit1/pwr3/pwr_11-46-35.759665.txt
2727,"[0.9980335306960514, 0.37439339986772224]",33,./unit1/pwr3/pwr_11-46-35.859811.txt
2728,"[0.9980335608842308, 0.3743934048231418]",34,./unit1/pwr3/pwr_11-46-35.959608.txt
2729,"[0.9980336212606324, 0.37439341473398097]",33,./unit1/pwr3/pwr_11-46-36.060214.txt
2730,"[0.998033668220056, 0.3743934593325038]",33,./unit1/pwr3/pwr_11-46-36.159352.txt
2731,"[0.9980337151794796, 0.37439350393102655]",33,./unit1/pwr3/pwr_11-46-36.259419.txt
2732,"[0.9980337621389032, 0.3743935485294226]",33,./unit1/pwr3/pwr_11-46-36.359937.txt
2733,"[0.9980337822643703, 0.37439356835097415]",33,./unit1/pwr3/pwr_11-46-36.460046.txt
2734,"[0.9980338225153048, 0.37439360799407734]",34,./unit1/pwr3/pwr_11-46-36.560143.txt
2735,"[0.9980338090983267, 0.37439358321710614]",34,./unit1/pwr3/pwr_11-46-36.659242.txt
2736,"[0.9980337956813485, 0.374393558440135]",34,./unit1/pwr3/pwr_11-46-36.759638.txt
2737,"[0.9980337822643703, 0.3743935336631638]",34,./unit1/pwr3/pwr_11-46-36.859995.txt
2738,"[0.9980337822643703, 0.374393558440135]",33,./unit1/pwr3/pwr_11-46-36.960134.txt
2739,"[0.9980337822643703, 0.37439360799407734]",34,./unit1/pwr3/pwr_11-46-37.060171.txt
2740,"[0.9980337722016153, 0.37439368232499093]",34,./unit1/pwr3/pwr_11-46-37.159344.txt
2741,"[0.9980337621389032, 0.3743937566557777]",33,./unit1/pwr3/pwr_11-46-37.259779.txt
2742,"[0.9980337520761481, 0.37439383098669127]",34,./unit1/pwr3/pwr_11-46-37.359241.txt
2743,"[0.998033748721925, 0.37439387558521403]",33,./unit1/pwr3/pwr_11-46-37.460093.txt
2744,"[0.9980337420134359, 0.3743939647821328]",33,./unit1/pwr3/pwr_11-46-37.559632.txt
2745,"[0.9980337520761481, 0.3743940292019537]",34,./unit1/pwr3/pwr_11-46-37.659285.txt
2746,"[0.9980337621389032, 0.3743940936220281]",33,./unit1/pwr3/pwr_11-46-37.759878.txt
2747,"[0.9980337722016153, 0.3743941580419757]",34,./unit1/pwr3/pwr_11-46-37.859710.txt
2748,"[0.9980337654931263, 0.3743941679528149]",34,./unit1/pwr3/pwr_11-46-37.959582.txt
2749,"[0.9980337520761481, 0.37439418777461997]",34,./unit1/pwr3/pwr_11-46-38.059484.txt
2750,"[0.9980337285964578, 0.374394133265258]",33,./unit1/pwr3/pwr_11-46-38.159318.txt
2751,"[0.9980337051167245, 0.37439407875589603]",34,./unit1/pwr3/pwr_11-46-38.260009.txt
2752,"[0.9980336816370342, 0.3743940242465341]",33,./unit1/pwr3/pwr_11-46-38.360127.txt
2753,"[0.9980336548031208, 0.3743939647817526]",33,./unit1/pwr3/pwr_11-46-38.459590.txt
2754,"[0.9980336011351653, 0.37439384585256974]",33,./unit1/pwr3/pwr_11-46-38.560193.txt
2755,"[0.9980336011351653, 0.37439387062954094]",34,./unit1/pwr3/pwr_11-46-38.660057.txt
2756,"[0.9980336011351653, 0.37439389540651213]",33,./unit1/pwr3/pwr_11-46-38.759961.txt
2757,"[0.9980336011351653, 0.3743939201834833]",33,./unit1/pwr3/pwr_11-46-38.859645.txt
2758,"[0.9980335944266762, 0.3743939746925917]",34,./unit1/pwr3/pwr_11-46-38.960117.txt
2759,"[0.998033581009698, 0.37439408371131566]",34,./unit1/pwr3/pwr_11-46-39.059726.txt
2760,"[0.9980335508215186, 0.37439412335441885]",34,./unit1/pwr3/pwr_11-46-39.159913.txt
2761,"[0.9980335206332963, 0.37439416299739525]",34,./unit1/pwr3/pwr_11-46-39.260274.txt
2762,"[0.9980334904451169, 0.37439420264049844]",34,./unit1/pwr3/pwr_11-46-39.360209.txt
2763,"[0.9980334770281387, 0.37439420759591807]",34,./unit1/pwr3/pwr_11-46-39.459441.txt
2764,"[0.9980334501941824, 0.3743942175067572]",34,./unit1/pwr3/pwr_11-46-39.559446.txt
2765,"[0.9980334434856933, 0.37439416299739525]",33,./unit1/pwr3/pwr_11-46-39.659573.txt
2766,"[0.9980334367772042, 0.3743941084882868]",33,./unit1/pwr3/pwr_11-46-39.759855.txt
2767,"[0.9980334300687151, 0.3743940539790516]",33,./unit1/pwr3/pwr_11-46-39.859693.txt
2768,"[0.9980334501941824, 0.37439404902363205]",34,./unit1/pwr3/pwr_11-46-39.959729.txt
2769,"[0.9980334904451169, 0.37439403911279284]",33,./unit1/pwr3/pwr_11-46-40.059304.txt
2770,"[0.998033500507829, 0.37439407875589603]",34,./unit1/pwr3/pwr_11-46-40.159671.txt
2771,"[0.9980335105705841, 0.3743941183989992]",33,./unit1/pwr3/pwr_11-46-40.260164.txt
2772,"[0.9980335206332963, 0.3743941580419757]",34,./unit1/pwr3/pwr_11-46-40.359338.txt
2773,"[0.9980335139248072, 0.37439421255133765]",34,./unit1/pwr3/pwr_11-46-40.460217.txt
2774,"[0.998033500507829, 0.37439432157006153]",33,./unit1/pwr3/pwr_11-46-40.559931.txt
2775,"[0.9980335172790732, 0.3743943067038028]",33,./unit1/pwr3/pwr_11-46-40.659300.txt
2776,"[0.9980335340502744, 0.37439429183767076]",34,./unit1/pwr3/pwr_11-46-40.760267.txt
2777,"[0.9980335508215186, 0.37439427697141203]",34,./unit1/pwr3/pwr_11-46-40.859248.txt
2778,"[0.9980335743012089, 0.374394232373016]",33,./unit1/pwr3/pwr_11-46-40.959420.txt
