original_index,unit2_gps_nor,original_unit1_pwr3_best-beam,original_unit1_pwr3
24474,"[0.029815716243733522, 0.6615967122709928]",35,./unit1/pwr3/pwr_13-36-43.649956.txt
31509,"[0.708680202860243, 0.03964544876426198]",32,./unit1/pwr3/pwr_13-48-29.850095.txt
30048,"[0.5045098266928878, 0.0008627626939657348]",36,./unit1/pwr3/pwr_13-46-03.750593.txt
25485,"[0.028358528554626602, 0.4150508130884402]",3,./unit1/pwr3/pwr_13-38-24.750572.txt
14803,"[0.29586668320040777, 0.5303107821808788]",47,./unit1/pwr3/pwr_12-13-41.588738.txt
28929,"[0.3458974132769179, 0.0005369162342871064]",47,./unit1/pwr3/pwr_13-44-11.850667.txt
12614,"[0.37438409408783646, 0.391095037860284]",34,./unit1/pwr3/pwr_12-10-02.688769.txt
6375,"[0.8796991406583721, 0.40889040915770075]",29,./unit1/pwr3/pwr_11-52-40.659788.txt
3989,"[0.9919955388282955, 0.40825615424680683]",34,./unit1/pwr3/pwr_11-48-42.059714.txt
9365,"[0.6990967446190282, 0.3872807224930314]",46,./unit1/pwr3/pwr_11-57-39.659785.txt
6158,"[0.8944448814465465, 0.40862845746420295]",36,./unit1/pwr3/pwr_11-52-18.959793.txt
15532,"[0.29698252957639293, 0.6158363153450364]",59,./unit1/pwr3/pwr_12-14-54.489221.txt
32060,"[0.7318092968977569, 0.04200882667489208]",34,./unit1/pwr3/pwr_13-49-25.750188.txt
27102,"[0.07811200350891602, 0.12068094496801128]",18,./unit1/pwr3/pwr_13-41-08.350189.txt
4790,"[0.9600595410556938, 0.4085284577447698]",37,./unit1/pwr3/pwr_11-50-02.159816.txt
17619,"[0.2516256403516321, 0.6874951728331948]",41,./unit1/pwr3/pwr_12-18-23.188547.txt
10781,"[0.5820656931489108, 0.3719054435159622]",22,./unit1/pwr3/pwr_12-04-20.908834.txt
6045,"[0.9028213551409139, 0.4086930410293968]",37,./unit1/pwr3/pwr_11-52-07.660257.txt
10945,"[0.5819625233038922, 0.3869014321792683]",8,./unit1/pwr3/pwr_12-04-37.309223.txt
27085,"[0.07610911717498012, 0.12297300989725131]",2,./unit1/pwr3/pwr_13-41-06.650430.txt
14025,"[0.2961514719552214, 0.4254758284473455]",43,./unit1/pwr3/pwr_12-12-23.789237.txt
3061,"[0.99959208029252, 0.37436719082337505]",25,./unit1/pwr3/pwr_11-47-09.259700.txt
8680,"[0.7619528133704989, 0.40474370126383047]",28,./unit1/pwr3/pwr_11-56-31.159414.txt
12107,"[0.38705602304717945, 0.3914977770676832]",33,./unit1/pwr3/pwr_12-09-11.988437.txt
18654,"[0.16296074498753838, 0.7213501422983023]",30,./unit1/pwr3/pwr_12-20-06.689189.txt
10251,"[0.5994971974433623, 0.3741620823798702]",8,./unit1/pwr3/pwr_12-03-27.909213.txt
3701,"[0.9997056147523087, 0.4045755501000431]",32,./unit1/pwr3/pwr_11-48-13.259758.txt
